iter	Passed	Remaining
1345	63278	7239
1346	63317	7192
1347	63358	7144
1348	63414	7098
1349	63462	7051
1350	63508	7004
1351	63551	6956
1352	63593	6909
1353	63640	6862
1354	63687	6815
1355	63739	6768
1356	63789	6722
1357	63850	6676
1358	63899	6629
1359	63948	6582
1360	63989	6535
1361	64034	6488
1362	64081	6441
1363	64128	6394
1364	64169	6346
1365	64214	6299
1366	64260	6252
1367	64308	6205
1368	64353	6158
1369	64405	6111
1370	64446	6063
1371	64488	6016
1372	64536	5969
1373	64579	5922
1374	64624	5874
1375	64665	5827
1376	64703	5779
1377	64769	5734
1378	64831	5688
1379	64874	5641
1380	64922	5594
1381	64967	5547
1382	65008	5499
1383	65052	5452
1384	65093	5404
1385	65142	5358
1386	65189	5311
1387	65240	5264
1388	65284	5217
1389	65327	5169
1390	65375	5122
1391	65420	5075
1392	65474	5029
1393	65515	4981
1394	65555	4934
1395	65597	4886
1396	65639	4839
1397	65690	4792
1398	65739	4745
1399	65783	4698
1400	65830	4651
1401	65874	4604
1402	65919	4557
1403	65967	4510
1404	66012	4463
1405	66061	4416
1406	66110	4369
1407	66165	4323
1408	66213	4276
1409	66263	4229
1410	66309	4182
1411	66350	4135
1412	66399	4088
1413	66446	4041
1414	66489	3994
1415	66538	3947
1416	66583	3900
1417	66630	3853
1418	66669	3805
1419	66720	3758
1420	66766	3711
1421	66813	3664
1422	66859	3617
1423	66902	3570
1424	66954	3523
1425	67001	3476
1426	67047	3429
1427	67090	3382
1428	67140	3335
1429	67188	3288
1430	67236	3242
1431	67278	3194
1432	67326	3147
1433	67375	3100
1434	67425	3054
1435	67473	3007
1436	67513	2959
1437	67557	2912
1438	67599	2865
1439	67643	2818
1440	67690	2771
1441	67730	2724
1442	67773	2677
1443	67814	2629
1444	67860	2582
1445	67915	2536
1446	67960	2489
1447	68005	2442
1448	68055	2395
1449	68106	2348
1450	68157	2301
1451	68203	2254
1452	68246	2207
1453	68293	2160
1454	68342	2113
1455	68390	2066
1456	68434	2019
1457	68480	1972
1458	68523	1925
1459	68572	1878
1460	68618	1831
1461	68663	1784
1462	68712	1737
1463	68759	1690
1464	68811	1643
1465	68859	1597
1466	68906	1550
1467	68957	1503
1468	68997	1456
1469	69043	1409
1470	69089	1362
1471	69141	1315
1472	69188	1268
1473	69234	1221
1474	69283	1174
1475	69330	1127
1476	69372	1080
1477	69413	1033
1478	69460	986
1479	69502	939
1480	69547	892
1481	69591	845
1482	69634	798
1483	69692	751
1484	69738	704
1485	69788	657
1486	69832	610
1487	69879	563
1488	69927	516
1489	69968	469
1490	70016	422
1491	70066	375
1492	70108	328
1493	70154	281
1494	70200	234
1495	70244	187
1496	70291	140
1497	70340	93
1498	70390	46
1499	70437	0
